"Priority","LegacyID","TargetCertifiedID","Reason","Owner","State"
"181","LEG-181","K-LEGACY-RC-KC01-K1-B01-P181","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"182","LEG-182","K-LEGACY-RC-KC01-K1-B01-P182","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"183","LEG-183","K-LEGACY-RC-KC01-K1-B01-P183","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"184","LEG-184","K-LEGACY-RC-KC01-K1-B01-P184","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"185","LEG-185","K-LEGACY-RC-KC01-K1-B01-P185","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"186","LEG-186","K-LEGACY-RC-KC01-K1-B01-P186","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"187","LEG-187","K-LEGACY-RC-KC01-K1-B01-P187","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"188","LEG-188","K-LEGACY-RC-KC01-K1-B01-P188","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"189","LEG-189","K-LEGACY-RC-KC01-K1-B01-P189","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"190","LEG-190","K-LEGACY-RC-KC01-K1-B01-P190","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"191","LEG-191","K-LEGACY-RC-KC01-K1-B01-P191","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"192","LEG-192","K-LEGACY-RC-KC01-K1-B01-P192","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"193","LEG-193","K-LEGACY-RC-KC01-K1-B01-P193","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"194","LEG-194","K-LEGACY-RC-KC01-K1-B01-P194","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"195","LEG-195","K-LEGACY-RC-KC01-K1-B01-P195","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"196","LEG-196","K-LEGACY-RC-KC07-K1-B01-P196","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"197","LEG-197","K-LEGACY-RC-KC07-K1-B01-P197","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"198","LEG-198","K-LEGACY-RC-KC01-K1-B01-P198","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"199","LEG-199","K-LEGACY-RC-KC01-K1-B01-P199","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"200","LEG-200","K-LEGACY-RC-KC01-K1-B01-P200","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"201","LEG-201","K-LEGACY-RC-KC01-K1-B01-P201","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"202","LEG-202","K-LEGACY-RC-KC01-K1-B01-P202","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"203","LEG-203","K-LEGACY-RC-KC01-K1-B01-P203","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"204","LEG-204","K-LEGACY-RC-KC01-K1-B01-P204","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"205","LEG-205","K-LEGACY-RC-KC01-K1-B01-P205","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"206","LEG-206","K-LEGACY-RC-KC01-K1-B01-P206","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"207","LEG-207","K-LEGACY-RC-KC01-K1-B01-P207","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"208","LEG-208","K-LEGACY-RC-KC01-K1-B01-P208","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"209","LEG-209","K-LEGACY-RC-KC01-K1-B01-P209","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"210","LEG-210","K-LEGACY-RC-KC01-K1-B01-P210","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"211","LEG-211","K-LEGACY-RC-KC01-K1-B01-P211","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"212","LEG-212","K-LEGACY-RC-KC01-K1-B01-P212","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"213","LEG-213","K-LEGACY-RC-KC01-K1-B01-P213","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"214","LEG-214","K-LEGACY-RC-KC01-K1-B01-P214","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"215","LEG-215","K-LEGACY-RC-KC01-K1-B01-P215","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"216","LEG-216","K-LEGACY-RC-KC01-K1-B01-P216","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"217","LEG-217","K-LEGACY-RC-KC01-K1-B01-P217","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"218","LEG-218","K-LEGACY-RC-KC01-K1-B01-P218","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"219","LEG-219","K-LEGACY-RC-KC01-K1-B01-P219","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"220","LEG-220","K-LEGACY-RC-KC01-K1-B01-P220","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"221","LEG-221","K-LEGACY-RC-KC01-K1-B01-P221","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"222","LEG-222","K-LEGACY-RC-KC01-K1-B01-P222","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"223","LEG-223","K-LEGACY-RC-KC01-K1-B01-P223","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"224","LEG-224","K-LEGACY-RC-KC01-K1-B01-P224","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"225","LEG-225","K-LEGACY-RC-KC01-K1-B01-P225","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"226","LEG-226","K-LEGACY-RC-KC01-K1-B01-P226","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"227","LEG-227","K-LEGACY-RC-KC01-K1-B01-P227","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"228","LEG-228","K-LEGACY-RC-KC01-K1-B01-P228","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"229","LEG-229","K-LEGACY-RC-KC01-K1-B01-P229","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"230","LEG-230","K-LEGACY-RC-KC01-K1-B01-P230","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"231","LEG-231","K-LEGACY-RC-KC01-K1-B01-P231","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"232","LEG-232","K-LEGACY-RC-KC01-K1-B01-P232","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"233","LEG-233","K-LEGACY-RC-KC02-K1-B01-P233","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"234","LEG-234","K-LEGACY-RC-KC01-K1-B01-P234","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"235","LEG-235","K-LEGACY-RC-KC01-K1-B01-P235","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"236","LEG-236","K-LEGACY-RC-KC01-K1-B01-P236","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"237","LEG-237","K-LEGACY-RC-KC01-K1-B01-P237","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"238","LEG-238","K-LEGACY-RC-KC01-K1-B01-P238","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"239","LEG-239","K-LEGACY-RC-KC01-K1-B01-P239","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"240","LEG-240","K-LEGACY-RC-KC01-K1-B01-P240","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"241","LEG-241","K-LEGACY-RC-KC01-K1-B01-P241","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"242","LEG-242","K-LEGACY-RC-KC01-K1-B01-P242","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"243","LEG-243","K-LEGACY-RC-KC01-K1-B01-P243","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"244","LEG-244","K-LEGACY-RC-KC01-K1-B01-P244","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"245","LEG-245","K-LEGACY-RC-KC01-K1-B01-P245","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"246","LEG-246","K-LEGACY-RC-KC07-K1-B01-P246","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"247","LEG-247","K-LEGACY-RC-KC01-K1-B01-P247","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"248","LEG-248","K-LEGACY-RC-KC01-K1-B01-P248","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"249","LEG-249","K-LEGACY-RC-KC01-K1-B01-P249","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"250","LEG-250","K-LEGACY-RC-KC01-K1-B01-P250","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"251","LEG-251","K-LEGACY-RC-KC01-K1-B01-P251","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"252","LEG-252","K-LEGACY-RC-KC01-K1-B01-P252","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"253","LEG-253","K-LEGACY-RC-KC01-K1-B01-P253","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"254","LEG-254","K-LEGACY-RC-KC01-K1-B01-P254","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"255","LEG-255","K-LEGACY-RC-KC01-K1-B01-P255","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"256","LEG-256","K-LEGACY-RC-KC01-K1-B01-P256","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"257","LEG-257","K-LEGACY-RC-KC01-K1-B01-P257","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"258","LEG-258","K-LEGACY-RC-KC01-K1-B01-P258","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"259","LEG-259","K-LEGACY-RC-KC01-K1-B01-P259","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"260","LEG-260","K-LEGACY-RC-KC01-K1-B01-P260","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"261","LEG-261","K-LEGACY-RC-KC01-K1-B01-P261","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"262","LEG-262","K-LEGACY-RC-KC01-K1-B01-P262","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"263","LEG-263","K-LEGACY-RC-KC01-K1-B01-P263","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"264","LEG-264","K-LEGACY-RC-KC01-K1-B01-P264","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"265","LEG-265","K-LEGACY-RC-KC01-K1-B01-P265","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"266","LEG-266","K-LEGACY-RC-KC01-K1-B01-P266","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"267","LEG-267","K-LEGACY-RC-KC01-K1-B01-P267","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"268","LEG-268","K-LEGACY-RC-KC01-K1-B01-P268","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"269","LEG-269","K-LEGACY-RC-KC01-K1-B01-P269","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"270","LEG-270","K-LEGACY-RC-KC01-K1-B01-P270","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"271","LEG-271","K-LEGACY-RC-KC07-K1-B01-P271","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"272","LEG-272","K-LEGACY-RC-KC07-K1-B01-P272","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"273","LEG-273","K-LEGACY-RC-KC07-K1-B01-P273","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"274","LEG-274","K-LEGACY-RC-KC07-K1-B01-P274","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"275","LEG-275","K-LEGACY-RC-KC07-K1-B01-P275","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"276","LEG-276","K-LEGACY-RC-KC07-K1-B01-P276","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"277","LEG-277","K-LEGACY-RC-KC07-K1-B01-P277","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"278","LEG-278","K-LEGACY-RC-KC07-K1-B01-P278","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"279","LEG-279","K-LEGACY-RC-KC07-K1-B01-P279","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"280","LEG-280","K-LEGACY-RC-KC07-K1-B01-P280","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"281","LEG-281","K-LEGACY-RC-KC07-K1-B01-P281","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"282","LEG-282","K-LEGACY-RC-KC07-K1-B01-P282","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"283","LEG-283","K-LEGACY-RC-KC07-K1-B01-P283","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"284","LEG-284","K-LEGACY-RC-KC07-K1-B01-P284","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"285","LEG-285","K-LEGACY-RC-KC07-K1-B01-P285","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"286","LEG-286","K-LEGACY-RC-KC07-K1-B01-P286","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"287","LEG-287","K-LEGACY-RC-KC07-K1-B01-P287","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"288","LEG-288","K-LEGACY-RC-KC07-K1-B01-P288","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"289","LEG-289","K-LEGACY-RC-KC07-K1-B01-P289","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"290","LEG-290","K-LEGACY-RC-KC07-K1-B01-P290","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"291","LEG-291","K-LEGACY-RC-KC07-K1-B01-P291","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"292","LEG-292","K-LEGACY-RC-KC07-K1-B01-P292","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"293","LEG-293","K-LEGACY-RC-KC07-K1-B01-P293","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"294","LEG-294","K-LEGACY-RC-KC07-K1-B01-P294","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"295","LEG-295","K-LEGACY-RC-KC07-K1-B01-P295","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"296","LEG-296","K-LEGACY-RC-KC07-K1-B01-P296","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"297","LEG-297","K-LEGACY-RC-KC07-K1-B01-P297","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"298","LEG-298","K-LEGACY-RC-KC07-K1-B01-P298","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"299","LEG-299","K-LEGACY-RC-KC07-K1-B01-P299","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"300","LEG-300","K-LEGACY-RC-KC07-K1-B01-P300","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"301","LEG-301","K-LEGACY-RC-KC07-K1-B01-P301","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"302","LEG-302","K-LEGACY-RC-KC07-K1-B01-P302","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"303","LEG-303","K-LEGACY-RC-KC07-K1-B01-P303","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"304","LEG-304","K-LEGACY-RC-KC07-K1-B01-P304","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"305","LEG-305","K-LEGACY-RC-KC07-K1-B01-P305","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"306","LEG-306","K-LEGACY-RC-KC07-K1-B01-P306","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"307","LEG-307","K-LEGACY-RC-KC07-K1-B01-P307","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"308","LEG-308","K-LEGACY-RC-KC07-K1-B01-P308","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"309","LEG-309","K-LEGACY-RC-KC07-K1-B01-P309","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"310","LEG-310","K-LEGACY-RC-KC07-K1-B01-P310","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"311","LEG-311","K-LEGACY-RC-KC07-K1-B01-P311","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"312","LEG-312","K-LEGACY-RC-KC07-K1-B01-P312","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"313","LEG-313","K-LEGACY-RC-KC07-K1-B01-P313","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"314","LEG-314","K-LEGACY-RC-KC07-K1-B01-P314","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"315","LEG-315","K-LEGACY-RC-KC07-K1-B01-P315","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"316","LEG-316","K-LEGACY-RC-KC07-K1-B01-P316","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"317","LEG-317","K-LEGACY-RC-KC07-K1-B01-P317","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"318","LEG-318","K-LEGACY-RC-KC07-K1-B01-P318","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"319","LEG-319","K-LEGACY-RC-KC07-K1-B01-P319","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"320","LEG-320","K-LEGACY-RC-KC07-K1-B01-P320","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"321","LEG-321","K-LEGACY-RC-KC07-K1-B01-P321","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"322","LEG-322","K-LEGACY-RC-KC07-K1-B01-P322","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"323","LEG-323","K-LEGACY-RC-KC07-K1-B01-P323","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"324","LEG-324","K-LEGACY-RC-KC07-K1-B01-P324","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"325","LEG-325","K-LEGACY-RC-KC07-K1-B01-P325","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"326","LEG-326","K-LEGACY-RC-KC07-K1-B01-P326","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"327","LEG-327","K-LEGACY-RC-KC07-K1-B01-P327","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"328","LEG-328","K-LEGACY-RC-KC07-K1-B01-P328","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"329","LEG-329","K-LEGACY-RC-KC07-K1-B01-P329","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"330","LEG-330","K-LEGACY-RC-KC07-K1-B01-P330","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"331","LEG-331","K-LEGACY-RC-KC07-K1-B01-P331","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"332","LEG-332","K-LEGACY-RC-KC07-K1-B01-P332","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"333","LEG-333","K-LEGACY-RC-KC07-K1-B01-P333","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"334","LEG-334","K-LEGACY-RC-KC07-K1-B01-P334","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"335","LEG-335","K-LEGACY-RC-KC07-K1-B01-P335","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"336","LEG-336","K-LEGACY-RC-KC07-K1-B01-P336","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"337","LEG-337","K-LEGACY-RC-KC07-K1-B01-P337","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"338","LEG-338","K-LEGACY-RC-KC07-K1-B01-P338","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"339","LEG-339","K-LEGACY-RC-KC07-K1-B01-P339","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"340","LEG-340","K-LEGACY-RC-KC07-K1-B01-P340","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"341","LEG-341","K-LEGACY-RC-KC07-K1-B01-P341","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"342","LEG-342","K-LEGACY-RC-KC07-K1-B01-P342","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"343","LEG-343","K-LEGACY-RC-KC07-K1-B01-P343","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"344","LEG-344","K-LEGACY-RC-KC07-K1-B01-P344","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"345","LEG-345","K-LEGACY-RC-KC07-K1-B01-P345","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"346","LEG-346","K-LEGACY-RC-KC07-K1-B01-P346","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"347","LEG-347","K-LEGACY-RC-KC07-K1-B01-P347","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"348","LEG-348","K-LEGACY-RC-KC07-K1-B01-P348","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"349","LEG-349","K-LEGACY-RC-KC07-K1-B01-P349","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"350","LEG-350","K-LEGACY-RC-KC01-K1-B01-P350","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"351","LEG-351","K-LEGACY-RC-KC01-K1-B01-P351","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"352","LEG-352","K-LEGACY-RC-KC01-K1-B01-P352","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"353","LEG-353","K-LEGACY-RC-KC01-K1-B01-P353","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"354","LEG-354","K-LEGACY-RC-KC01-K1-B01-P354","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"355","LEG-355","K-LEGACY-RC-KC01-K1-B01-P355","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"356","LEG-356","K-LEGACY-RC-KC01-K1-B01-P356","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"357","LEG-357","K-LEGACY-RC-KC01-K1-B01-P357","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"358","LEG-358","K-LEGACY-RC-KC01-K1-B01-P358","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"359","LEG-359","K-LEGACY-RC-KC01-K1-B01-P359","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"360","LEG-360","K-LEGACY-RC-KC01-K1-B01-P360","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
"361","LEG-361","K-LEGACY-RC-KC01-K1-B01-P361","Legacy asset requires certified metadata brief QA and sign-off before reuse","Legacy Migration Lead","OPEN"
