"RelativePath","Extension","SizeBytes","Priority","RecommendedPatchAction","PassFailRule"
"_BASELINE_BACKEND_PHASE2_20260103_131246\uxhelpers.js",".js","391","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_BACKEND_PHASE3_20260103_133742\daily-challenge\dailyChallengeEngine.ts",".ts","3464","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_BACKEND_PHASE3_20260103_133742\daily-challenge\dailyChallengeRoutes.ts",".ts","5027","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_BACKEND_PHASE3_20260103_133742\uxhelpers.js",".js","391","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_BACKEND_PHASE4_20260103_135829\daily-challenge\dailyChallengeEngine.ts",".ts","3464","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_BACKEND_PHASE4_20260103_135829\daily-challenge\dailyChallengeRoutes.ts",".ts","5027","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_BACKEND_PHASE4_20260103_135829\uxhelpers.js",".js","391","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\_legacy_js_backup_20251208\auth.js",".js","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\_legacy_js_backup_20251208\dailyChallengeApi.js",".js","1354","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\_legacy_js_backup_20251208\DailyChallengeDetailPage.js",".js","7961","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\_legacy_js_backup_20251208\DailyChallengeHomeCard.js",".js","3280","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\_legacy_js_backup_20251208\ErrorBoundary.js",".js","807","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\_legacy_js_backup_20251208\HealthPanel.js",".js","1783","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\_legacy_js_backup_20251208\main.js",".js","649","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\App.tsx",".tsx","1148","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\auth.ts",".ts","218","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\components\DailyCompletionCard.tsx",".tsx","2603","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\components\ErrorBoundary.tsx",".tsx","784","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\components\GamePanel.tsx",".tsx","1289","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\components\HealthPanel.tsx",".tsx","2278","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\components\ProgressPanel.tsx",".tsx","1019","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\daily-challenge\DailyChallengeDetailPage.tsx",".tsx","8916","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\daily-challenge\DailyChallengeHomeCard.tsx",".tsx","2666","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\lib\auth.ts",".ts","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\pages\Daily.tsx",".tsx","2086","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\pages\Progress.tsx",".tsx","1928","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\pages\PuzzlesPlay.tsx",".tsx","4752","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\pages\SolvePuzzle.tsx",".tsx","6039","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_20260103_102610\progress\ProgressPage.tsx",".tsx","1942","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\_legacy_js_backup_20251208\auth.js",".js","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\_legacy_js_backup_20251208\dailyChallengeApi.js",".js","1354","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\_legacy_js_backup_20251208\DailyChallengeDetailPage.js",".js","7961","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\_legacy_js_backup_20251208\DailyChallengeHomeCard.js",".js","3280","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\_legacy_js_backup_20251208\ErrorBoundary.js",".js","807","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\_legacy_js_backup_20251208\HealthPanel.js",".js","1783","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\_legacy_js_backup_20251208\main.js",".js","649","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\App.tsx",".tsx","1148","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\auth.ts",".ts","218","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\components\DailyCompletionCard.tsx",".tsx","2603","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\components\ErrorBoundary.tsx",".tsx","784","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\components\GamePanel.tsx",".tsx","1289","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\components\HealthPanel.tsx",".tsx","2278","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\components\ProgressPanel.tsx",".tsx","1019","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\daily-challenge\DailyChallengeDetailPage.tsx",".tsx","8916","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\daily-challenge\DailyChallengeHomeCard.tsx",".tsx","2666","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\lib\auth.ts",".ts","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\pages\Daily.tsx",".tsx","2086","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\pages\Progress.tsx",".tsx","1928","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\pages\PuzzlesPlay.tsx",".tsx","4752","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\pages\SolvePuzzle.tsx",".tsx","9765","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE2_20260103_131246\progress\ProgressPage.tsx",".tsx","1942","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\_legacy_js_backup_20251208\auth.js",".js","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\_legacy_js_backup_20251208\dailyChallengeApi.js",".js","1354","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\_legacy_js_backup_20251208\DailyChallengeDetailPage.js",".js","7961","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\_legacy_js_backup_20251208\DailyChallengeHomeCard.js",".js","3280","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\_legacy_js_backup_20251208\ErrorBoundary.js",".js","807","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\_legacy_js_backup_20251208\HealthPanel.js",".js","1783","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\_legacy_js_backup_20251208\main.js",".js","649","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\App.tsx",".tsx","1148","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\auth.ts",".ts","218","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\components\DailyCompletionCard.tsx",".tsx","2603","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\components\ErrorBoundary.tsx",".tsx","784","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\components\GamePanel.tsx",".tsx","1289","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\components\HealthPanel.tsx",".tsx","2278","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\components\ProgressPanel.tsx",".tsx","1019","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\daily-challenge\DailyChallengeDetailPage.tsx",".tsx","10662","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\daily-challenge\DailyChallengeHomeCard.tsx",".tsx","2666","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\lib\auth.ts",".ts","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\pages\Daily.tsx",".tsx","2086","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\pages\Progress.tsx",".tsx","1928","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\pages\PuzzlesPlay.tsx",".tsx","4752","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\pages\SolvePuzzle.tsx",".tsx","9765","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE3_20260103_133742\progress\ProgressPage.tsx",".tsx","1942","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\_legacy_js_backup_20251208\auth.js",".js","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\_legacy_js_backup_20251208\dailyChallengeApi.js",".js","1354","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\_legacy_js_backup_20251208\DailyChallengeDetailPage.js",".js","7961","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\_legacy_js_backup_20251208\DailyChallengeHomeCard.js",".js","3280","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\_legacy_js_backup_20251208\ErrorBoundary.js",".js","807","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\_legacy_js_backup_20251208\HealthPanel.js",".js","1783","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\_legacy_js_backup_20251208\main.js",".js","649","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\App.tsx",".tsx","1148","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\auth.ts",".ts","218","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\components\DailyCompletionCard.tsx",".tsx","2603","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\components\ErrorBoundary.tsx",".tsx","784","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\components\GamePanel.tsx",".tsx","1289","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\components\HealthPanel.tsx",".tsx","2278","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\components\ProgressPanel.tsx",".tsx","1019","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\daily-challenge\DailyChallengeDetailPage.tsx",".tsx","12624","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\daily-challenge\DailyChallengeHomeCard.tsx",".tsx","2666","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\lib\auth.ts",".ts","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\pages\Daily.tsx",".tsx","2086","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\pages\Progress.tsx",".tsx","1928","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\pages\PuzzlesPlay.tsx",".tsx","4752","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\pages\SolvePuzzle.tsx",".tsx","9765","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_BASELINE_FRONTEND_PHASE4_20260103_135829\progress\ProgressPage.tsx",".tsx","1942","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_daily_closeout\snapshot_20251231_151341\App.tsx",".tsx","1148","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_daily_closeout\snapshot_20251231_151341\DailyChallengeDetailPage.tsx",".tsx","8637","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_daily_closeout\snapshot_20251231_151341\HealthPanel.tsx",".tsx","2278","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_daily_closeout\snapshot_20251231_151341\SolvePuzzle.tsx",".tsx","5051","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\backend_src\daily-challenge\dailyChallengeEngine.ts",".ts","3464","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\backend_src\daily-challenge\dailyChallengeRoutes.ts",".ts","5027","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\backend_src\uxhelpers.js",".js","391","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\_legacy_js_backup_20251208\auth.js",".js","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\_legacy_js_backup_20251208\dailyChallengeApi.js",".js","1354","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\_legacy_js_backup_20251208\DailyChallengeDetailPage.js",".js","7961","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\_legacy_js_backup_20251208\DailyChallengeHomeCard.js",".js","3280","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\_legacy_js_backup_20251208\ErrorBoundary.js",".js","807","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\_legacy_js_backup_20251208\HealthPanel.js",".js","1783","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\_legacy_js_backup_20251208\main.js",".js","649","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\App.tsx",".tsx","1197","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\auth.ts",".ts","218","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\components\DailyCompletionCard.tsx",".tsx","2603","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\components\ErrorBoundary.tsx",".tsx","784","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\components\GamePanel.tsx",".tsx","1289","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\components\HealthPanel.tsx",".tsx","1749","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\components\ProgressPanel.tsx",".tsx","1019","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\daily-challenge\DailyChallengeDetailPage.tsx",".tsx","6656","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\daily-challenge\DailyChallengeHomeCard.tsx",".tsx","2666","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\lib\auth.ts",".ts","168","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\pages\Daily.tsx",".tsx","2086","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\pages\Progress.tsx",".tsx","1695","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"_snapshots\phase2_complete_20251224_144242\frontend_src\progress\ProgressPage.tsx",".tsx","1942","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"ARCHIVE_DUPLICATES_2025-12-27\backend_backup_phase12_20251126_202223\daily-challenge\dailyChallengeEngine.ts",".ts","3464","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"ARCHIVE_DUPLICATES_2025-12-27\backend_backup_phase12_20251126_202223\daily-challenge\dailyChallengeRoutes.ts",".ts","5027","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"ARCHIVE_DUPLICATES_2025-12-27\backend_backup_phase12_20251126_202223\uxhelpers.js",".js","391","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"ARCHIVE_DUPLICATES_2025-12-27\DailyChallengeDetailPage.tsx",".tsx","8422","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"ARCHIVE_DUPLICATES_2025-12-27\frontend_20251029_090727\eslint.config.js",".js","621","P3","DO_NOT_PATCH_UNLESS_REQUIRED","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"ARCHIVE_DUPLICATES_2025-12-27\frontend_20251029_090727\index.html",".html","373","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"ARCHIVE_DUPLICATES_2025-12-27\frontend_20251029_090727\package-lock.json",".json","103323","P3","DO_NOT_PATCH_UNLESS_REQUIRED","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"ARCHIVE_DUPLICATES_2025-12-27\frontend_20251029_090727\src\App.tsx",".tsx","1911","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"ARCHIVE_DUPLICATES_2025-12-27\frontend_20251029_090727\src\auth.ts",".ts","229","P2","REVIEW_ONLY","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"ARCHIVE_DUPLICATES_2025-12-27\frontend_20251029_090727\src\components\ErrorBanner.tsx",".tsx","287","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
"backend\data\scores.json",".json","641","P1","PATCH_CANDIDATE","PATCH_ONLY_AFTER_PATH_EXISTS_AND_REPO_CLEAN"
